on x=-34..11,y=-37..11,z=-1..49
on x=-49..4,y=-38..7,z=-24..28
on x=-47..0,y=-30..20,z=-45..4
on x=-42..4,y=-20..34,z=-35..19
on x=-10..36,y=-48..5,z=-25..26
on x=-33..13,y=-13..31,z=-35..19
on x=-17..37,y=-35..15,z=-36..15
on x=-9..42,y=-13..35,z=-25..27
on x=-30..14,y=-17..32,z=-12..40
on x=-47..-3,y=-9..36,z=-27..26
off x=22..33,y=4..15,z=-38..-19
on x=-17..27,y=-41..6,z=-46..1
off x=19..30,y=-41..-30,z=-38..-23
on x=-1..46,y=-26..20,z=-30..24
off x=-23..-5,y=33..48,z=-10..4
on x=-9..40,y=-27..27,z=-44..8
off x=17..35,y=-2..17,z=-47..-36
on x=-10..39,y=-33..18,z=-12..37
off x=-18..-1,y=26..40,z=15..28
on x=-26..23,y=-48..4,z=-33..12
on x=-7767..8465,y=70235..75043,z=-38186..-16627
on x=-10825..-157,y=-49643..-17077,z=61077..93187
on x=-78491..-65396,y=-22023..4184,z=24567..39917
on x=-69096..-45331,y=-57284..-24629,z=30263..44605
on x=-82945..-58658,y=-24057..8676,z=-59483..-25954
on x=23778..52633,y=52727..68692,z=-56606..-20022
on x=12027..45950,y=-77103..-71231,z=3616..21938
on x=-24115..-20698,y=57503..81343,z=-26718..1172
on x=-74752..-64480,y=-32793..-183,z=20877..51711
on x=12311..17848,y=42020..68842,z=48851..58123
on x=34878..65619,y=-65608..-44755,z=-18945..1760
on x=38046..50325,y=-76330..-59321,z=-44579..-7411
on x=-27083..-572,y=78641..84225,z=-4516..4273
on x=-67159..-51172,y=45211..75502,z=10331..38112
on x=73121..86106,y=17319..27445,z=12173..36253
on x=-86448..-60647,y=9576..22694,z=-34376..-1905
on x=51685..82061,y=-11976..-2951,z=-38217..-36377
on x=-21489..-11858,y=64405..80034,z=20703..32551
on x=54508..78271,y=-970..10688,z=-51796..-32776
on x=-62472..-41598,y=55079..83815,z=-12854..4221
on x=-62546..-41236,y=-59160..-42120,z=-29326..-10165
on x=3039..10873,y=-77792..-51183,z=39648..64691
on x=18908..42915,y=-85119..-66953,z=21555..41360
on x=-28304..-602,y=67010..76793,z=24207..41706
on x=-13014..-7561,y=-4862..20372,z=76161..90466
on x=-61371..-36585,y=-35323..-2134,z=-71901..-43476
on x=-60020..-27945,y=46935..74333,z=-52063..-28331
on x=37543..51771,y=39209..73478,z=-47815..-34418
on x=-75977..-49341,y=-35855..-14243,z=-43397..-35095
on x=-49747..-39743,y=23515..46066,z=-78748..-57265
on x=15746..37028,y=-90884..-62698,z=-7085..7329
on x=38086..39224,y=53141..61196,z=-38897..-32937
on x=-22143..2819,y=54500..77129,z=35532..43531
on x=27477..38919,y=-42201..-11290,z=-69900..-56761
on x=-35934..-2875,y=75729..77631,z=-4249..24749
on x=19824..49125,y=-37151..-29316,z=62470..68427
on x=43584..64069,y=-64224..-49061,z=14483..32637
on x=-87497..-65591,y=14477..31068,z=21325..43162
on x=-17118..-8857,y=-78865..-59966,z=-22027..8527
on x=53618..73102,y=11195..28823,z=29412..50395
on x=-35212..-10250,y=11617..34969,z=-94033..-66158
on x=-22093..4097,y=31794..43954,z=64840..70029
on x=-26558..-13357,y=-82883..-70841,z=-31475..-7987
on x=67626..89460,y=6455..20436,z=145..22189
on x=64917..84909,y=-38333..-16678,z=-42533..-11431
on x=-81933..-71821,y=-26889..-8552,z=-38934..-21226
on x=-67449..-42833,y=-69110..-45770,z=-45436..-31504
on x=-15115..4185,y=62913..84720,z=15053..23903
on x=23907..45353,y=-72846..-60283,z=-23317..-1868
on x=64343..75415,y=14351..52019,z=14951..34455
on x=11240..41017,y=-25279..-17020,z=67729..81871
on x=-8996..12336,y=37034..58454,z=-82997..-48451
on x=-3270..27905,y=-30126..-19878,z=67193..88272
on x=-34710..-23610,y=-66723..-57570,z=-50136..-37581
on x=-10917..12913,y=33262..46893,z=57043..88234
on x=-67037..-37105,y=-22210..2988,z=-75441..-44791
on x=30838..66044,y=-35285..-5629,z=44963..69204
on x=39905..70543,y=30249..52221,z=28786..35841
on x=-51915..-28142,y=32528..45281,z=56801..76859
on x=6458..23823,y=51825..77185,z=-70551..-41325
on x=-60518..-31990,y=-84789..-63450,z=-14122..516
on x=33404..38517,y=37688..49922,z=-65799..-48966
on x=-71634..-52166,y=-8962..5620,z=-38708..-18685
on x=-69404..-54364,y=47457..59308,z=6610..12786
on x=-27251..-599,y=64192..74923,z=34407..51267
on x=-69162..-47724,y=-53471..-36038,z=-3517..715
on x=-41252..-20367,y=49699..78813,z=-45598..-28953
on x=-57420..-42386,y=46099..66663,z=28200..50453
on x=-2523..21646,y=14911..38877,z=-77584..-74832
on x=-27706..-8808,y=-50429..-36991,z=-79330..-46143
on x=-26776..-4293,y=-61371..-53015,z=45653..52604
on x=-82166..-59572,y=-37275..-4524,z=10188..35182
on x=-3837..15847,y=-80620..-61494,z=29692..40627
on x=20621..49700,y=-75932..-45354,z=20952..34498
on x=33761..57796,y=17629..39231,z=-77877..-48856
on x=-7235..13550,y=63761..87931,z=-16801..11182
on x=-71492..-63856,y=-27212..-5261,z=-45581..-23803
on x=31331..50805,y=39635..70998,z=34728..46519
on x=-64168..-35899,y=13118..21395,z=-74199..-37645
on x=36973..63382,y=-25207..-20461,z=-63946..-33316
on x=10582..27193,y=-332..27840,z=65375..90981
on x=-63720..-26392,y=30681..58184,z=-56311..-42602
on x=50270..65633,y=-40312..-36420,z=7319..43677
on x=24715..42989,y=-69649..-40804,z=23051..59731
on x=-64854..-49827,y=-60637..-29941,z=24369..29936
on x=3548..20412,y=71738..90006,z=-5636..28912
on x=49052..62719,y=34882..58069,z=-34869..-23749
on x=-75660..-59228,y=-53236..-36280,z=-15746..-3511
on x=-25987..-3468,y=-77537..-45211,z=50010..64259
on x=-63544..-57391,y=12180..41011,z=-53997..-34554
on x=40331..48287,y=-30779..-12430,z=61052..66633
on x=-35292..-21416,y=41501..47212,z=49801..71909
on x=40187..49282,y=-21986..2142,z=-68197..-62470
on x=-16315..1250,y=63879..73643,z=38101..49818
on x=-76889..-73261,y=9935..41687,z=-19237..-1337
on x=13819..33206,y=-5983..24217,z=-83451..-56363
on x=-83726..-63835,y=23676..32711,z=-14408..5670
on x=-89135..-69895,y=32129..47740,z=-15117..-3168
on x=-57546..-49516,y=-64787..-58930,z=-8834..5788
on x=44444..76900,y=5785..22493,z=-50982..-32235
on x=31693..39789,y=-53676..-42677,z=39516..63346
on x=-9416..18362,y=-22206..3520,z=69116..94436
on x=-33856..-25337,y=-65795..-39367,z=43093..72546
on x=50975..60929,y=-69410..-45225,z=-6633..7513
on x=36582..49461,y=-29437..434,z=-78872..-55606
on x=43144..46769,y=-53895..-29625,z=43982..62606
on x=43712..50675,y=48621..72539,z=9795..37202
on x=-64586..-41013,y=-7237..11266,z=54306..84188
on x=-34017..-28332,y=-86180..-64548,z=15204..47876
on x=-73407..-46624,y=4427..25409,z=33192..58962
on x=-69241..-38165,y=25432..52998,z=-48446..-36465
on x=-71078..-60065,y=6673..22030,z=-53812..-38263
on x=23885..45710,y=19227..42605,z=62234..79168
on x=-47994..-31482,y=-49720..-37004,z=-60366..-56640
on x=34009..37186,y=45563..62534,z=36287..73297
on x=36634..53083,y=-50594..-16032,z=46865..72092
on x=-69970..-49816,y=36604..41716,z=-31691..-24207
on x=36098..65962,y=-75388..-50351,z=12487..28560
on x=3480..27091,y=17552..25519,z=-74907..-71099
on x=8366..13202,y=11489..16569,z=64937..94918
on x=-10285..-2162,y=-32609..-7091,z=-84844..-71354
on x=23331..47942,y=7373..42266,z=-77928..-50235
on x=2455..16526,y=-5891..8693,z=-84746..-64996
on x=61718..87907,y=-2796..15963,z=10640..38742
on x=-12743..1588,y=-55139..-40101,z=-78393..-51595
on x=-40418..-18531,y=46738..59883,z=-65962..-38897
on x=50009..84289,y=-29635..-3234,z=-52600..-27908
on x=-69133..-35815,y=24566..41950,z=39830..55089
on x=-47234..-39187,y=1546..23673,z=45703..66817
on x=40232..71981,y=-45799..-38422,z=30909..49315
on x=-67955..-49657,y=-44209..-23021,z=9543..28184
on x=19153..48780,y=-55928..-48379,z=-58378..-44807
on x=-67603..-43173,y=-52174..-44958,z=17520..22665
on x=53991..74216,y=-42819..-16670,z=-6927..16077
on x=-67593..-42620,y=39880..52732,z=-32957..-17962
on x=-28416..1152,y=-16719..10530,z=-80987..-60680
on x=39932..57751,y=47474..67718,z=-6562..3723
on x=-6587..30725,y=-51463..-28223,z=46811..76820
on x=-72754..-45346,y=-51303..-36048,z=7753..45540
on x=17310..48066,y=-55989..-32614,z=53157..68668
on x=-39464..-19233,y=62493..68001,z=-39757..-7025
on x=-22460..5774,y=-25339..-3695,z=71776..87885
on x=-78010..-60424,y=-30682..-9244,z=-26578..-2955
on x=-45283..-27634,y=-24705..13441,z=-79255..-50710
on x=11179..39102,y=54174..84052,z=21054..50634
on x=4201..28756,y=-80364..-61225,z=-63286..-29212
on x=-41030..-32812,y=-30883..-12748,z=-72855..-66428
on x=-28279..-11595,y=-18362..-10428,z=-84897..-60148
on x=-70513..-56470,y=39215..58141,z=-8203..20332
on x=-11346..7229,y=39154..52869,z=-67456..-55495
on x=-60043..-48619,y=-28151..-12484,z=46472..54351
on x=1347..25118,y=-82126..-71795,z=20313..30557
on x=-49442..-41761,y=53057..68985,z=-1898..11097
on x=-50389..-31843,y=13309..42788,z=55454..74671
on x=-22631..11425,y=57139..70782,z=-67903..-36359
on x=-8371..14680,y=76982..81183,z=-11026..5508
on x=61974..82360,y=-39890..-11512,z=-35972..-15702
on x=-55522..-49425,y=46444..70057,z=6690..31221
on x=29279..39332,y=49243..71085,z=22666..44070
on x=11092..28408,y=-66183..-48199,z=32847..57490
on x=-55994..-36820,y=-30962..8200,z=-59561..-44417
on x=-68262..-33591,y=-23642..-10931,z=-78266..-57197
on x=55289..83321,y=-20677..-3789,z=25987..49584
on x=-72334..-61950,y=38136..48219,z=-22541..5232
on x=-49580..-23944,y=39376..62541,z=-54706..-38304
on x=-70743..-59482,y=-4253..16223,z=-62423..-40841
on x=-7876..10436,y=-46539..-12815,z=54959..88893
on x=-92022..-70982,y=-42424..-24129,z=-10116..23370
on x=7749..10552,y=49119..58246,z=44187..62771
on x=44723..61902,y=37036..43020,z=28502..51387
on x=41611..55388,y=-67098..-33437,z=20091..48823
on x=-69891..-60767,y=-47350..-26212,z=9310..14713
on x=66583..93911,y=-24377..3154,z=-18190..9215
on x=-54285..-40673,y=-70513..-59198,z=19647..38954
on x=-50599..-41129,y=44749..71387,z=28051..47784
on x=-78119..-65816,y=30027..58535,z=-7854..-4718
on x=13342..43862,y=-79526..-55390,z=-45253..-15547
on x=8708..35204,y=23317..34468,z=69672..75087
on x=30496..48423,y=-19490..10271,z=-84394..-70670
on x=-79469..-63591,y=2794..26336,z=-40786..-17857
on x=-87265..-63571,y=16271..34025,z=-5693..11675
on x=23483..38191,y=63653..85191,z=-8490..19230
on x=53072..74807,y=41941..63275,z=-10625..5537
on x=53016..66381,y=-98..14309,z=36832..53464
on x=-49885..-18199,y=26989..51658,z=-68902..-63438
on x=-82594..-64035,y=6881..36898,z=-39153..-32427
on x=50281..72628,y=9327..19115,z=42099..61176
on x=-35013..-15975,y=-25531..-8630,z=61931..91226
on x=5137..18295,y=-77643..-69251,z=9805..14668
on x=-54097..-42601,y=-70586..-44862,z=24437..30435
on x=32530..58434,y=-1121..17374,z=53908..86911
